Epsilon,Discount,value
0.6,0.88,15.4
0.0,0.8,9.3
0.1,0.8,10.3
0.0,0.82,9.3
0.1,0.82,10.4
0.0,0.84,9.3
0.1,0.84,10.3
0.2,0.8,10.5
0.3,0.8,11.6
0.4,0.8,11.3
0.0,0.86,9.3
0.1,0.86,10.3
0.0,0.88,9.3
0.1,0.88,10.3
0.0,0.9,9.3
0.1,0.9,10.1
0.0,0.92,9.3
0.1,0.92,10.2
0.0,0.94,9.3
0.1,0.94,10.5
0.0,0.96,9.3
0.1,0.96,10.3
0.0,0.98,9.3
0.1,0.98,10.3
0.2,0.82,10.7
0.2,0.88,10.5
0.3,0.88,11.4
0.4,0.88,11.1
0.5,0.88,12.6
0.2,0.9,10.8
0.2,0.96,10.7
0.0,1.0,9.3
0.1,1.0,10.3
0.2,0.98,10.7
0.2,0.84,10.8
0.2,0.86,10.4
0.3,0.96,12.1
0.4,0.96,11.5
0.2,0.92,11.0
0.2,0.94,10.6
0.2,1.0,10.4
0.3,0.84,11.4
0.4,0.84,11.3
0.5,0.84,12.7
0.6,0.84,17.2
0.7,0.84,20.2
0.8,0.84,16.5
0.9,0.84,30.3
1.0,0.84,17.3
0.5,0.8,12.7
0.5,0.86,12.6
0.3,0.82,11.4
0.3,0.86,11.6
0.3,0.9,11.9
0.3,0.92,11.6
0.4,0.9,11.3
0.5,0.9,13.2
0.6,0.9,17.2
0.7,0.9,19.2
0.8,0.9,17.2
0.9,0.9,28.8
0.3,0.94,11.6
0.3,0.98,12.1
0.3,1.0,11.7
0.4,0.82,11.2
0.5,0.82,14.0
0.4,0.86,11.1
0.4,0.92,11.3
0.4,0.94,11.1
0.5,0.92,13.0
0.6,0.92,14.4
0.7,0.92,20.2
0.8,0.92,17.0
0.9,0.92,30.2
1.0,0.92,17.3
0.5,0.96,13.5
0.4,0.98,10.6
0.5,0.98,13.3
0.6,0.98,15.2
0.7,0.98,20.1
0.8,0.98,16.4
0.9,0.98,29.5
0.4,1.0,10.9
0.6,0.8,14.2
0.7,0.8,20.2
0.8,0.8,16.1
0.9,0.8,18.8
1.0,0.8,17.3
0.5,0.94,12.7
0.6,0.96,14.2
0.5,1.0,12.8
0.6,0.82,14.2
0.6,0.86,14.2
0.6,0.94,14.6
0.6,1.0,14.2
0.7,1.0,19.9
0.8,1.0,16.5
0.9,1.0,29.5
0.7,0.82,20.2
0.8,0.82,16.7
0.7,0.86,21.2
0.7,0.88,21.2
0.8,0.88,16.0
0.7,0.94,20.2
0.8,0.94,16.3
0.9,0.94,31.2
1.0,0.94,17.3
0.7,0.96,19.6
0.8,0.96,17.0
0.9,0.82,30.1
1.0,0.82,17.3
0.8,0.86,16.0
0.9,0.88,29.9
0.9,0.96,29.2
0.9,0.86,30.0
1.0,0.88,17.3
1.0,0.86,17.3
1.0,0.9,17.3
1.0,0.96,17.3
1.0,0.98,17.3
1.0,1.0,17.3
